C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-9.9179,-10.05,-8.0528,-8.8026,-3.8095,-6.0606,-3.7724,-11.94,-5.0327,-9.901,-9.8039,-4.0264,-12.504,-8.0402,-3.1134,-5.0761,-9.5513,-6.0972,-8.8013
-18.785,-14.07,-13.003,-12.686,-9.7209,-10.101,-5.7236,-18.905,-4.0523,-15.842,-15.686,-7.9868,-19.758,-12.06,-7.1743,-3.0457,-10.513,-14.137,-10.772
-21.741,-10.05,-12.013,-13.657,-9.7209,-8.0808,-6.6992,-20.896,-3.0719,-14.851,-14.706,-9.967,-20.794,-10.05,-9.2047,1.0152,-4.7436,-16.147,-6.8309
-25.681,-15.075,-16.964,-15.599,-17.603,-11.111,-19.382,-21.891,-8.9542,-19.802,-15.686,-20.858,-22.867,-16.08,-20.372,-1.0152,-9.5513,-17.152,-15.698
-21.741,-9.0452,-13.993,-12.686,-12.677,-10.101,-15.48,-17.91,-11.895,-13.861,-11.765,-17.888,-16.649,-13.065,-18.342,-3.0457,-5.7051,-16.147,-11.757
-19.77,-13.065,-17.954,-11.715,-15.632,-15.152,-17.431,-16.915,-17.778,-16.832,-14.706,-16.898,-18.722,-17.085,-21.387,-6.0914,-8.5897,-19.162,-11.757
-18.785,-19.095,-22.904,-12.686,-18.588,-17.172,-20.358,-17.91,-20.719,-17.822,-17.647,-17.888,-19.758,-22.111,-23.418,-8.1218,-12.436,-14.137,-11.757
-16.814,-19.095,-22.904,-11.715,-20.558,-17.172,-20.358,-14.925,-18.758,-16.832,-15.686,-17.888,-17.686,-21.106,-23.418,-8.1218,-12.436,-9.1122,-9.7865
-9.9179,-9.0452,-15.974,-7.8317,-14.647,-11.111,-19.382,-8.9552,-12.876,-6.9307,-8.8235,-14.917,-8.3592,-12.06,-19.357,-7.1066,-8.5897,-3.0821,-7.8161
-9.9179,-8.0402,-12.013,-7.8317,-15.632,-11.111,-23.285,-6.9652,-13.856,-6.9307,-6.8627,-17.888,-9.3955,-12.06,-18.342,-8.1218,-13.397,-9.1122,-15.698
-17.8,-13.065,-13.993,-6.8608,-18.588,-10.101,-23.285,-11.94,-12.876,-13.861,-9.8039,-20.858,-15.613,-16.08,-18.342,-5.0761,-18.205,-16.147,-20.624
-21.741,-15.075,-14.983,-4.9191,-19.573,-9.0909,-16.455,-11.94,-10.915,-17.822,-10.784,-18.878,-18.722,-18.09,-16.311,-2.0305,-17.244,-20.168,-15.698
-18.785,-11.055,-12.013,-3.9482,-16.617,-8.0808,-9.626,-8.9552,-11.895,-14.851,-9.8039,-10.957,-13.541,-12.06,-15.296,-4.0609,-9.5513,-18.157,-6.8309
-14.844,-5.0251,-7.0627,-4.9191,-12.677,-9.0909,-8.6504,-8.9552,-13.856,-6.9307,-7.8431,-5.0165,-11.468,-3.0151,-14.281,-6.0914,-4.7436,-12.127,-1.9048
-15.829,1.005,-1.1221,-5.89,-8.7356,-8.0808,-14.504,-10.945,-17.778,0.0,-6.8627,-4.0264,-11.468,3.0151,-11.235,-5.0761,-3.7821,-7.1022,-5.8456
-17.8,7.0352,4.8185,-6.8608,-2.8243,-6.0606,-15.48,-12.935,-15.817,4.9505,-3.9216,-2.0462,-10.432,7.0352,-4.1286,-3.0457,-2.8205,-7.1022,-7.8161
-19.77,9.0452,6.7987,-7.8317,0.13136,-7.0707,-7.6748,-13.93,-7.9739,2.9703,-5.8824,3.8944,-11.468,10.05,1.9628,-4.0609,0.0641,-9.1122,-1.9048
